RECORDING_SESSION_LABEL	AVERAGE_FIXATION_DURATION	SACCADE_COUNT	VISITED_INTEREST_AREA_COUNT	hunger	recorder_trial	resp	rt	rtype	sim	sub	tar	tcateg	time	tired	tnum	tutra	tuttime
53_mg	488.00	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
53_mg	1014.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
53_mg	144.00	4	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
53_mg	203.29	13	7	1	126	space	3.27391587233	cr	False	53_mg	False	Utility_Vehicles	1.89	1	1	NA	NA
53_mg	104.40	4	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
53_mg	104.71	13	7	1	90	space	2.30200376449	cr	False	53_mg	False	Utility_Vehicles	8.79	1	2	NA	NA
53_mg	1016.00	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
53_mg	186.44	8	5	1	64	return	1.96836423688	hi	False	53_mg	True	Utility_Vehicles	14.53	1	3	NA	NA
53_mg	283.33	2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
53_mg	199.50	7	5	1	269	space	1.98502005963	cr	False	53_mg	False	Utility_Vehicles	19.94	1	4	NA	NA
53_mg	210.67	3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
53_mg	129.50	12	7	1	180	space	2.78560141346	cr	False	53_mg	False	Utility_Vehicles	25.37	1	5	0	28.21
53_mg	.	1	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.
53_mg	81.14	13	7	1	123	space	3.2026281883	cr	False	53_mg	False	Utility_Vehicles	36.53	1	6	NA	NA
53_mg	78.75	7	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
53_mg	77.25	16	7	1	60	space	3.24043817801	cr	False	53_mg	False	Utility_Vehicles	43.17	1	7	NA	NA
53_mg	112.40	4	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
53_mg	104.86	6	4	1	18	return	1.00805171335	fa	True	53_mg	True	Utility_Vehicles	49.94	1	8	NA	NA
53_mg	78.67	5	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.
53_mg	101.71	6	4	1	88	space	1.17206239467	cr	False	53_mg	False	Utility_Vehicles	54.61	1	9	NA	NA
