RECORDING_SESSION_LABEL	AVERAGE_FIXATION_DURATION	SACCADE_COUNT	VISITED_INTEREST_AREA_COUNT	hunger	recorder_trial	resp	rt	rtype	sim	sub	tar	tcateg	time	tired	tnum	tutra	tuttime	fixed
53_mg	488	1	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
53_mg	1014	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
53_mg	144	4	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
53_mg	203.29	13	7	1	126	space	3.273915872	cr	FALSE	53_mg	FALSE	Utility_Vehicles	1.89	1	1	NA	NA	3273.915872
53_mg	104.4	4	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
53_mg	104.71	13	7	1	90	space	2.302003764	cr	FALSE	53_mg	FALSE	Utility_Vehicles	8.79	1	2	NA	NA	2302.003764
53_mg	1016	0	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
53_mg	186.44	8	5	1	64	return	1.968364237	hi	FALSE	53_mg	TRUE	Utility_Vehicles	14.53	1	3	NA	NA	1968.364237
53_mg	283.33	2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
53_mg	199.5	7	5	1	269	space	1.98502006	cr	FALSE	53_mg	FALSE	Utility_Vehicles	19.94	1	4	NA	NA	1985.02006
53_mg	210.67	3	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
53_mg	129.5	12	7	1	180	space	2.785601413	cr	FALSE	53_mg	FALSE	Utility_Vehicles	25.37	1	5	0	28.21	2785.601413
53_mg	.	1	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
53_mg	81.14	13	7	1	123	space	3.202628188	cr	FALSE	53_mg	FALSE	Utility_Vehicles	36.53	1	6	NA	NA	3202.628188
53_mg	78.75	7	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
53_mg	77.25	16	7	1	60	space	3.240438178	cr	FALSE	53_mg	FALSE	Utility_Vehicles	43.17	1	7	NA	NA	3240.438178
53_mg	112.4	4	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
53_mg	104.86	6	4	1	18	return	1.008051713	fa	TRUE	53_mg	TRUE	Utility_Vehicles	49.94	1	8	NA	NA	1008.051713
53_mg	78.67	5	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
53_mg	101.71	6	4	1	88	space	1.172062395	cr	FALSE	53_mg	FALSE	Utility_Vehicles	54.61	1	9	NA	NA	1172.062395
53_mg	138.5	4	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
53_mg	88.55	11	5	1	97	space	1.879639605	cr	FALSE	53_mg	FALSE	Utility_Vehicles	60.37	1	10	0	30.42	1879.639605
53_mg	145.5	4	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
53_mg	90.53	15	6	1	272	space	2.43038215	cr	FALSE	53_mg	FALSE	Utility_Vehicles	77.18	1	11	NA	NA	2430.38215
53_mg	176.4	4	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
53_mg	127.27	10	5	1	205	space	1.896534787	cr	FALSE	53_mg	FALSE	Utility_Vehicles	83.07	1	12	NA	NA	1896.534787
53_mg	149.33	2	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
